material_id,formula,band_gap,poly_total,poly_electronic,poly_ionic,n,density,volume
mp-441,Rb2Te,-0.14925646951886445,-0.44002132692422535,-0.29183218462991256,-0.367843386589211,-0.5006391258728978,-0.6465512076828842,-0.07105405153527
mp-22881,CdCl2,0.8730830502230689,-0.4142827569878828,-0.3132901560201029,-0.3073102614362123,-0.5703070334859678,-0.3451458661544812,-0.8433268637805367
mp-28013,MnI2,-0.5918546762364087,-0.21300714008568403,-0.17457969810494378,-0.14433646294736968,-0.17842505316244994,0.32688795658522496,-0.5964790590275338
mp-567290,LaN,-0.6230235640334187,0.1653498379785514,-0.015943981041750686,0.26542623039600605,0.18733146180616667,0.9431237333987147,-0.8036420479016919
mp-560902,MnF2,0.4678875088619368,-0.39420667243753565,-0.3753650018274393,-0.21418237658544514,-0.788019244776811,-0.27592272647158095,-0.8584399387560899
mp-22894,AgI,-0.448477792370162,-0.39214758684262824,-0.17457969810494378,-0.4144073290145946,-0.17842505316244994,0.6845708116740118,-0.20650073446447767
mp-1747,K2Te,0.012821747025588514,-0.4405360983229522,-0.2895331162666779,-0.3709476494175699,-0.5006391258728978,-1.0407335364226549,-0.276780139526118
mp-971,K2O,-0.25523068802869897,-0.2850751359074432,-0.31175744377794645,-0.11406990037087036,-0.5703070334859678,-1.1360876621676717,-1.0079332436333897
mp-1500,BaS,0.01905552458499041,0.008859332765588715,-0.18684139604219538,0.20256490812173827,-0.2132590069689849,-0.004723845895716435,-1.0177845810662143
mp-2784,Na2Te,-0.06198358368723594,-0.35508404613429495,-0.22439284597502854,-0.30808632714330203,-0.30905237993695583,-0.7571883642669829,-0.6964867694479373
mp-2693,SnSe,-1.246401319973622,1.5917813838506558,2.9467887830466766,-0.5843657188672448,3.7665202154276294,1.0174412166946425,-1.1361368239671061
mp-1672,CaS,0.16243240845123713,-0.13836528727029065,-0.1730469858627873,-0.03335906683353877,-0.17842505316244994,-0.971810064011109,-1.229477818696146
mp-2530,Li2Te,0.23723773916406157,-0.327286390603045,-0.17457969810494378,-0.31662304992128903,-0.17842505316244994,-0.4844312138800746,-0.994901744800129
mp-1186,ZrS2,-0.666660006949233,1.0873054130983415,0.061457987187150336,1.5769772753776445,0.3527927423872075,-0.5271038333209619,-0.9080378453435488
mp-8426,K2Se,-0.018347140771421813,-0.4328145273420495,-0.3025611703250078,-0.3461135467906987,-0.5354730796794328,-1.1689311951081298,-0.5105999712953414
mp-568264,SiSe2,0.01905552458499041,-0.5126040941447114,-0.2604115836657052,-0.5090873452795414,-0.41355424135656066,-0.7773859383562793,0.4865024764750176
mp-1315,MgS,0.3993159557085143,0.06393987242936179,-0.14162638489857995,0.23981606206204506,-0.10004865709774649,-0.9398655328847146,-1.341941920664197
mp-567259,CdI2,0.1873675186888453,-0.20991851169332298,-0.1929722450108212,-0.1210544917346779,-0.22196749542061844,0.5415695897836222,-0.48223405019767246
mp-27934,CdBr2,0.511523951777751,-0.37567490208336896,-0.2841686234191303,-0.27859583027389245,-0.48322214896963056,0.1352807032811278,0.39498147583993604
mp-2114,YN,-1.227699987295416,5.417047647789886,0.627028804542882,7.531729445877119,1.3020179836152843,0.9325754454470347,-1.4034125225101186
mp-8177,HgF2,-0.7165302274244493,-0.1244664595046657,-0.2611779397867835,0.07684226357320244,-0.41355424135656066,2.7488587771269426,-1.2452649050846336
mp-2097,SnO,-1.0656217707509632,0.20344292148433848,0.0032149219852049987,0.3034534500434027,0.23087390406433556,1.0522026201717698,-0.9358791592625652
mp-604884,BN,1.4341230305692516,-0.49922003777781326,-0.2611779397867835,-0.4881335711881187,-0.41355424135656066,-1.2338391260835249,-1.3112835896011807
mp-617,PtO2,-0.32380224118212125,-0.282501278913809,0.014710263801378437,-0.4407935630556453,0.25699936941923657,3.00375575814112,-1.2880420039527603
mp-1022,K2S,0.12502974309482492,-0.43332929874077625,-0.31788829274657227,-0.33136829835599385,-0.5877240103892353,-1.4540346370748456,-0.6411898014657548
mp-422,BeS,0.6361995029657918,-0.38699987285535975,-0.15235537059367518,-0.42915257744929947,-0.1261741224526475,-1.0976103845257479,-1.41164569961246
mp-23205,MgI2,0.9354208258170892,-0.41479752838660966,-0.27420599384511335,-0.34766567820487815,-0.44838819516309564,-0.17643319238187152,-0.4906327549623349
mp-22867,RbBr,1.2907461467030052,-0.4678189824554754,-0.36770144061665705,-0.3329204297701733,-0.7531852909702761,-0.6127487394740913,-0.8178345535807103
mp-22877,VCl2,-0.5419844557611924,-0.4940723237905448,-0.25504709081815763,-0.48658143977393925,-0.39613726445329317,-0.787394825219521,-0.9858149650350632
mp-648,Na2S,0.19983507380764937,-0.39832484362735043,-0.286467691782365,-0.3104145242645712,-0.49193063742126414,-1.4143586903475036,-0.9805665502050634
mp-570259,MgCl2,2.1510074499004856,-0.4920132381956373,-0.3531406743161708,-0.38414076643809525,-0.7096428487121074,-1.2478635543829177,-0.9376436061153617
