material_id,formula,cluster,PC1,PC2,PC3,PC4,PC5,PC6
mp-441,Rb2Te,2,-0.5247848631669575,-0.4040252208924611,-0.0047140853761484,-0.34405920236437276,-0.4567242490259065,0.0034688769037613896
mp-22881,CdCl2,2,-0.9612067837798898,0.6845085585936695,-0.37308607832123897,-0.5987561660677133,0.10922313577832111,0.013025896215155876
mp-28013,MnI2,0,0.12188809455456025,0.15759262827202047,-0.7410144739725449,0.25788752049811536,-0.5109249986273444,0.13122586683466456
mp-567290,LaN,0,0.564165769225066,0.70421072441276,-0.948240943657774,0.6626099348260743,-0.34450290725133764,0.13513555450138617
mp-560902,MnF2,2,-0.9562322607390701,0.9569242853945857,-0.34822812595147146,-0.02173280775489866,-0.3241646902852432,0.21718121678586372
mp-22894,AgI,0,0.3878144663730754,-0.7201176220355695,-0.9901587161420672,-0.1037857302631753,0.18009504825444558,-0.0924639343240422
mp-1747,K2Te,2,-0.739171921124533,-0.27476536071250784,0.10871083715489713,-0.6950623994927541,-0.6103796388849433,-0.045592801085812304
mp-971,K2O,2,-0.857568141782127,0.7162510734452521,-0.053452548598293334,-0.34656819700718705,-1.3455215260386177,0.1663030864887883
mp-1500,BaS,2,-0.3480833194520671,1.1097781949973733,-0.4680273404583022,0.15797747246903956,-0.5536085324631459,0.13034404285751985
mp-2784,Na2Te,2,-0.5278786845719727,0.026506223854857732,-0.26374160509749217,-0.7061564390799401,-0.6507972272540403,-0.0402978657496797
mp-2693,SnSe,0,4.054156164142327,-0.11802722872677883,-0.6329095717402303,-1.9730559816982582,0.1470584987853813,0.21354791515808244
mp-1672,CaS,2,-0.7370015639164922,0.8850145542696708,-0.19075732834578643,-0.7295005008137654,-0.9293934779483721,0.018840433546491776
mp-2530,Li2Te,2,-0.45918352527254996,0.2210069045262144,-0.5700553768308516,-0.9310528284620622,-0.3252334012399051,-0.11392050506922656
mp-1186,ZrS2,2,0.33323336026707684,1.4966351364676025,0.3446537828991178,0.40604209862611496,-1.4131745012038388,-0.23270886647158612
mp-8426,K2Se,2,-0.8279643134596806,-0.04631016427935776,0.07175482635645829,-0.7308054881081876,-0.825057051953963,-0.009340822908690484
mp-568264,SiSe2,1,-0.35958227277949106,-1.4154126882170843,0.15276201267731923,-0.9432282787837944,0.06501838717779186,-0.32221357555397445
mp-1315,MgS,2,-0.8007690313014929,1.3454703464011701,-0.06722020925728033,-0.6181963930992048,-0.8637506456963505,0.007467342476756648
mp-567259,CdI2,0,-0.1789566469532081,0.47257058409015307,-0.6231638731511184,0.253392463230585,0.180279982638347,0.11563871113109234
mp-27934,CdBr2,2,-0.5768583061019288,-0.10089269627088746,0.08742631310319338,0.2700880622389194,0.5061010140162098,0.1055372850430755
mp-2114,YN,0,3.5971993307942016,3.7241165806701297,0.9957345375045625,1.3700270545762177,-1.336812093552826,-2.46908750991761
mp-8177,HgF2,0,0.9075560564086075,1.1427563931240245,-2.3285251565847496,1.6924819258914912,0.3099887774378442,0.37852670683093714
mp-2097,SnO,0,0.8289503760625496,0.645771911620911,-1.1498648174014663,0.7956890206385289,-0.6522891734177825,0.15926150442020925
mp-604884,BN,2,-1.2041325179648728,0.21898164427808964,-0.408596996924189,-2.2618322157283166,0.22994863070376867,-0.4678274099197339
